,BO,,,GA,,,BO_wo_rlx,,,BO_wo_clst,,,BO_wo_clst+wo_rlx,,,BO_wo_clst+wo_cmp,,,BO_wo_cl+wo_rlx+wo_cmp,,,BO_wo_comparison,,
no,avg,min,max,avg,min,max,avg,min,max,avg,min,max,avg,min,max,avg,min,max,avg,min,max,avg,min,max
1,13.898,12.6642,15.4561,12.65316,11.4754,13.2996,28.3195,27.5982,29.0408,12.42804,11.783,13.0556,26.76212,24.8372,32.7765,12.18468,11.7905,12.9234,25.1657,21.6042,28.8057,13.05776,11.9757,13.8413
2,13.11888,12.6642,13.9299,12.34058,11.4754,12.8948,23.4596,19.8827,19.8827,12.29762,11.783,12.8921,22.71708,21.8017,25.2379,12.18468,11.7905,12.9234,24.8881,21.2323,28.8057,12.95258,11.9757,13.3715
3,13.00638,12.6642,13.712,12.2148,11.4754,12.8948,21.7776,19.5779,19.5779,12.29762,11.783,12.8921,21.93384,21.0115,22.8946,12.0368,11.771,12.5774,22.4675,21.2323,24.7831,12.64748,11.9437,13.3715
4,12.84244,12.5251,13.4259,12.16548,11.4754,12.8948,21.7776,19.5779,19.5779,12.0223,11.6291,12.452,21.51096,20.7802,22.1174,11.8797,11.771,12.025,21.83724,19.1342,24.7831,12.47624,11.9437,12.8504
5,12.78292,12.4699,13.1835,12.13954,11.4754,12.7651,20.1611,19.5779,19.5779,11.92046,11.6291,12.2577,21.51096,20.7802,22.1174,11.8797,11.771,12.025,20.6186,19.1342,21.7613,12.47624,11.9437,12.8504
6,12.62082,12.0469,13.1835,12.00278,11.4754,12.6183,20.1611,19.5779,19.5779,11.91938,11.6291,12.2577,21.51096,20.7802,22.1174,11.8797,11.771,12.025,20.58146,19.1342,21.7613,12.47624,11.9437,12.8504
7,12.42284,12.0469,12.7396,11.76666,11.4377,12.5389,20.1611,19.5779,19.5779,11.91658,11.6291,12.2577,21.42594,20.7802,21.844,11.8797,11.771,12.025,20.58146,19.1342,21.7613,12.44052,11.9437,12.8182
8,12.41076,12.0469,12.6792,11.68622,11.4377,12.1367,19.8174,19.5779,19.5779,11.91658,11.6291,12.2577,21.32978,20.7802,21.844,11.81336,11.5654,12.025,20.58146,19.1342,21.7613,12.36246,11.9437,12.8182
9,12.41076,12.0469,12.6792,11.56774,11.4377,11.8013,19.47055,18.8842,18.8842,11.79508,11.6291,11.9757,21.32978,20.7802,21.844,11.81336,11.5654,12.025,20.45066,19.1342,21.7613,12.36246,11.9437,12.8182
10,12.2566,11.6991,12.6792,11.56774,11.4377,11.8013,19.47055,18.8842,18.8842,11.73302,11.6291,11.9428,20.83002,19.3029,21.844,11.81336,11.5654,12.025,20.45066,19.1342,21.7613,12.24322,11.9437,12.8182
11,12.15086,11.6991,12.6642,11.56774,11.4377,11.8013,19.47055,18.8842,18.8842,11.70698,11.6291,11.8126,20.61486,19.3029,21.2115,11.7895,11.5654,11.9149,20.0948,19.1342,21.7613,12.21542,11.9437,12.8182
12,12.15086,11.6991,12.6642,11.56774,11.4377,11.8013,19.47055,18.8842,18.8842,11.70698,11.6291,11.8126,20.61486,19.3029,21.2115,11.7895,11.5654,11.9149,20.0948,19.1342,21.7613,12.15102,11.9044,12.8182
13,12.15086,11.6991,12.6642,11.56774,11.4377,11.8013,19.47055,18.8842,18.8842,11.70698,11.6291,11.8126,20.29008,19.3029,21.0115,11.7895,11.5654,11.9149,20.0948,19.1342,21.7613,12.15102,11.9044,12.8182
14,11.87086,11.4502,12.4307,11.56774,11.4377,11.8013,19.47055,18.8842,18.8842,11.70698,11.6291,11.8126,20.29008,19.3029,21.0115,11.7895,11.5654,11.9149,20.0948,19.1342,21.7613,12.14206,11.8596,12.8182
15,11.79968,11.4502,12.2437,11.56076,11.4377,11.8013,19.47055,18.8842,18.8842,11.70698,11.6291,11.8126,20.29008,19.3029,21.0115,11.7895,11.5654,11.9149,19.55302,19.0524,20.1729,12.14206,11.8596,12.8182
16,11.63836,11.4371,12.0247,11.56076,11.4377,11.8013,19.47055,18.8842,18.8842,11.6982,11.6291,11.7776,20.29008,19.3029,21.0115,11.7895,11.5654,11.9149,19.55302,19.0524,20.1729,12.10836,11.8596,12.681
17,11.50648,11.4007,11.7667,11.56076,11.4377,11.8013,19.47055,18.8842,18.8842,11.68732,11.611,11.7776,20.21506,19.3029,21.0115,11.7895,11.5654,11.9149,19.55302,19.0524,20.1729,12.10836,11.8596,12.681
18,11.50028,11.4007,11.7667,11.56076,11.4377,11.8013,19.47055,18.8842,18.8842,11.6222,11.4431,11.7776,20.1705,19.3029,20.7887,11.7665,11.5654,11.9149,19.55302,19.0524,20.1729,12.03584,11.7857,12.681
19,11.50028,11.4007,11.7667,11.5582,11.4377,11.8013,19.47055,18.8842,18.8842,11.58706,11.4431,11.7776,20.05314,19.0008,20.7887,11.7665,11.5654,11.9149,19.55302,19.0524,20.1729,12.03484,11.7857,12.681
20,11.50028,11.4007,11.7667,11.54934,11.4377,11.8013,19.2128,18.8842,18.8842,11.58706,11.4431,11.7776,20.05314,19.0008,20.7887,11.7665,11.5654,11.9149,19.55302,19.0524,20.1729,11.9992,11.7857,12.5028
21,11.49756,11.4007,11.7667,11.54934,11.4377,11.8013,19.2128,18.8842,18.8842,11.58706,11.4431,11.7776,20.05314,19.0008,20.7887,11.7665,11.5654,11.9149,19.55302,19.0524,20.1729,11.8483,11.5983,12.0535
22,11.49756,11.4007,11.7667,11.54934,11.4377,11.8013,19.2128,18.8842,18.8842,11.58706,11.4431,11.7776,20.05314,19.0008,20.7887,11.7665,11.5654,11.9149,19.55302,19.0524,20.1729,11.77062,11.4309,11.9444
23,11.48738,11.4007,11.7667,11.47268,11.418,11.5323,19.2128,18.8842,18.8842,11.58706,11.4431,11.7776,20.05314,19.0008,20.7887,11.7665,11.5654,11.9149,19.55302,19.0524,20.1729,11.75078,11.4309,11.9444
24,11.4872,11.3999,11.7667,11.47268,11.418,11.5323,19.2128,18.8842,18.8842,11.58706,11.4431,11.7776,20.05314,19.0008,20.7887,11.7665,11.5654,11.9149,19.55302,19.0524,20.1729,11.75078,11.4309,11.9444
25,11.4872,11.3999,11.7667,11.47268,11.418,11.5323,19.2128,18.8842,18.8842,11.58706,11.4431,11.7776,20.05314,19.0008,20.7887,11.7665,11.5654,11.9149,19.55302,19.0524,20.1729,11.75078,11.4309,11.9444
26,11.4872,11.3999,11.7667,11.47268,11.418,11.5323,19.2128,18.8842,18.8842,11.58706,11.4431,11.7776,20.05314,19.0008,20.7887,11.76126,11.5654,11.9149,19.55302,19.0524,20.1729,11.75078,11.4309,11.9444
27,11.4872,11.3999,11.7667,11.47268,11.418,11.5323,19.2128,18.8842,18.8842,11.577,11.4431,11.7273,20.05314,19.0008,20.7887,11.65856,11.4056,11.8795,19.4783,18.7606,20.1729,11.75078,11.4309,11.9444
28,11.4872,11.3999,11.7667,11.47268,11.418,11.5323,19.2128,18.8842,18.8842,11.577,11.4431,11.7273,19.9957,19.0008,20.7887,11.65856,11.4056,11.8795,19.4783,18.7606,20.1729,11.75006,11.4309,11.9408
29,11.4872,11.3999,11.7667,11.47268,11.418,11.5323,19.2128,18.8842,18.8842,11.577,11.4431,11.7273,19.85914,19.0008,20.7802,11.65856,11.4056,11.8795,19.4649,18.7606,20.1059,11.67676,11.4309,11.8325
30,11.4872,11.3999,11.7667,11.47268,11.418,11.5323,19.2128,18.8842,18.8842,11.50842,11.4004,11.6502,19.72428,19.0008,20.1059,11.65742,11.3999,11.8795,19.4649,18.7606,20.1059,11.67676,11.4309,11.8325
31,11.4872,11.3999,11.7667,11.47268,11.418,11.5323,19.2128,18.8842,18.8842,11.49796,11.4004,11.6502,19.72428,19.0008,20.1059,11.65742,11.3999,11.8795,19.4649,18.7606,20.1059,11.67676,11.4309,11.8325
32,11.48694,11.3999,11.7667,11.47268,11.418,11.5323,19.2128,18.8842,18.8842,11.49796,11.4004,11.6502,19.72428,19.0008,20.1059,11.65742,11.3999,11.8795,19.4649,18.7606,20.1059,11.67676,11.4309,11.8325
33,11.48694,11.3999,11.7667,11.47268,11.418,11.5323,19.2128,18.8842,18.8842,11.49796,11.4004,11.6502,19.72428,19.0008,20.1059,11.65742,11.3999,11.8795,19.4649,18.7606,20.1059,11.67676,11.4309,11.8325
34,11.48694,11.3999,11.7667,11.47268,11.418,11.5323,18.80185,18.7195,18.8842,11.49796,11.4004,11.6502,19.72428,19.0008,20.1059,11.65742,11.3999,11.8795,19.4649,18.7606,20.1059,11.65982,11.4309,11.8325
35,11.48694,11.3999,11.7667,11.47268,11.418,11.5323,18.80185,18.7195,18.8842,11.49796,11.4004,11.6502,19.72428,19.0008,20.1059,11.65742,11.3999,11.8795,19.3864,18.6599,20.1059,11.65982,11.4309,11.8325
36,11.48694,11.3999,11.7667,11.47268,11.418,11.5323,18.7195,18.7195,18.7195,11.49796,11.4004,11.6502,19.72428,19.0008,20.1059,11.65742,11.3999,11.8795,19.3864,18.6599,20.1059,11.65982,11.4309,11.8325
37,11.48694,11.3999,11.7667,11.47268,11.418,11.5323,18.7195,18.7195,18.7195,11.49796,11.4004,11.6502,19.72428,19.0008,20.1059,11.62794,11.3999,11.8795,19.3864,18.6599,20.1059,11.65902,11.4309,11.8325
38,11.48694,11.3999,11.7667,11.47268,11.418,11.5323,18.7195,18.7195,18.7195,11.49796,11.4004,11.6502,19.72428,19.0008,20.1059,11.60384,11.3999,11.8795,19.3864,18.6599,20.1059,11.65902,11.4309,11.8325
39,11.48694,11.3999,11.7667,11.47268,11.418,11.5323,18.7195,18.7195,18.7195,11.49796,11.4004,11.6502,19.72428,19.0008,20.1059,11.60384,11.3999,11.8795,19.3864,18.6599,20.1059,11.65902,11.4309,11.8325
40,11.48694,11.3999,11.7667,11.47268,11.418,11.5323,18.7195,18.7195,18.7195,11.49796,11.4004,11.6502,19.72428,19.0008,20.1059,11.60384,11.3999,11.8795,19.3864,18.6599,20.1059,11.65902,11.4309,11.8325
41,11.48694,11.3999,11.7667,11.47268,11.418,11.5323,18.7195,18.7195,18.7195,11.49796,11.4004,11.6502,19.72428,19.0008,20.1059,11.60384,11.3999,11.8795,19.3864,18.6599,20.1059,11.65902,11.4309,11.8325
42,11.48694,11.3999,11.7667,11.47268,11.418,11.5323,18.7195,18.7195,18.7195,11.47748,11.4004,11.6502,19.72428,19.0008,20.1059,11.60384,11.3999,11.8795,19.3864,18.6599,20.1059,11.65902,11.4309,11.8325
43,11.48694,11.3999,11.7667,11.47268,11.418,11.5323,18.7195,18.7195,18.7195,11.47748,11.4004,11.6502,19.72428,19.0008,20.1059,11.60384,11.3999,11.8795,19.3864,18.6599,20.1059,11.65902,11.4309,11.8325
44,11.48694,11.3999,11.7667,11.47268,11.418,11.5323,18.7195,18.7195,18.7195,11.47748,11.4004,11.6502,19.72428,19.0008,20.1059,11.60384,11.3999,11.8795,19.3864,18.6599,20.1059,11.65902,11.4309,11.8325
45,11.48694,11.3999,11.7667,11.47268,11.418,11.5323,18.7195,18.7195,18.7195,11.47748,11.4004,11.6502,19.72428,19.0008,20.1059,11.60384,11.3999,11.8795,19.3864,18.6599,20.1059,11.65902,11.4309,11.8325
46,11.48694,11.3999,11.7667,11.47268,11.418,11.5323,18.7195,18.7195,18.7195,11.47748,11.4004,11.6502,19.72428,19.0008,20.1059,11.60384,11.3999,11.8795,19.3864,18.6599,20.1059,11.65902,11.4309,11.8325
47,11.48694,11.3999,11.7667,11.47268,11.418,11.5323,18.7195,18.7195,18.7195,11.47748,11.4004,11.6502,19.72428,19.0008,20.1059,11.60384,11.3999,11.8795,19.3864,18.6599,20.1059,11.65902,11.4309,11.8325
48,11.48694,11.3999,11.7667,11.47268,11.418,11.5323,18.7195,18.7195,18.7195,11.47748,11.4004,11.6502,19.72428,19.0008,20.1059,11.60384,11.3999,11.8795,19.3864,18.6599,20.1059,11.65902,11.4309,11.8325
49,11.48694,11.3999,11.7667,11.47268,11.418,11.5323,18.7195,18.7195,18.7195,11.47748,11.4004,11.6502,19.72428,19.0008,20.1059,11.60384,11.3999,11.8795,19.3864,18.6599,20.1059,11.65902,11.4309,11.8325
50,11.48692,11.3999,11.7667,11.47268,11.418,11.5323,18.7195,18.7195,18.7195,11.47748,11.4004,11.6502,19.72428,19.0008,20.1059,11.6038,11.3997,11.8795,19.3864,18.6599,20.1059,11.65902,11.4309,11.8325
51,11.48692,11.3999,11.7667,11.47268,11.418,11.5323,18.7195,18.7195,18.7195,11.47748,11.4004,11.6502,19.72428,19.0008,20.1059,11.6038,11.3997,11.8795,19.3864,18.6599,20.1059,11.62252,11.4309,11.7857
52,11.48692,11.3999,11.7667,11.47268,11.418,11.5323,18.7195,18.7195,18.7195,11.47748,11.4004,11.6502,19.67624,18.7606,20.1059,11.55294,11.3997,11.8795,19.3864,18.6599,20.1059,11.62252,11.4309,11.7857
53,11.48692,11.3999,11.7667,11.47268,11.418,11.5323,18.7195,18.7195,18.7195,11.47748,11.4004,11.6502,19.67624,18.7606,20.1059,11.55294,11.3997,11.8795,19.3864,18.6599,20.1059,11.57554,11.4151,11.7857
54,11.48692,11.3999,11.7667,11.4532,11.418,11.5,18.7195,18.7195,18.7195,11.47748,11.4004,11.6502,19.67624,18.7606,20.1059,11.55294,11.3997,11.8795,19.3864,18.6599,20.1059,11.57554,11.4151,11.7857
55,11.48692,11.3999,11.7667,11.4521,11.4125,11.5,18.7195,18.7195,18.7195,11.47748,11.4004,11.6502,19.67624,18.7606,20.1059,11.55294,11.3997,11.8795,19.3864,18.6599,20.1059,11.57554,11.4151,11.7857
56,11.48692,11.3999,11.7667,11.43996,11.3742,11.5,18.7195,18.7195,18.7195,11.47748,11.4004,11.6502,19.67624,18.7606,20.1059,11.55294,11.3997,11.8795,19.3864,18.6599,20.1059,11.57554,11.4151,11.7857
57,11.48692,11.3999,11.7667,11.4282,11.3742,11.5,18.7195,18.7195,18.7195,11.47748,11.4004,11.6502,19.67624,18.7606,20.1059,11.55294,11.3997,11.8795,19.3864,18.6599,20.1059,11.57554,11.4151,11.7857
58,11.48692,11.3999,11.7667,11.4282,11.3742,11.5,18.7195,18.7195,18.7195,11.47748,11.4004,11.6502,19.67624,18.7606,20.1059,11.55294,11.3997,11.8795,19.3864,18.6599,20.1059,11.57554,11.4151,11.7857
59,11.48692,11.3999,11.7667,11.4282,11.3742,11.5,18.7195,18.7195,18.7195,11.47748,11.4004,11.6502,19.67624,18.7606,20.1059,11.55294,11.3997,11.8795,19.3864,18.6599,20.1059,11.57554,11.4151,11.7857
