h,k,l,del_CN,tension_host,tension_impurity,del_tension,radius_host,radius_impurity,del_radius,PEN_host,PEN_impurity,del_PEN,IE_host,IE_impurity,del_IE,EA_host,EA_impurity,del_EA,Esegr
3,2,2,5,1.3,0.895,-0.405,2.67,3.01,0.34,1.9,1.93,0.03,7.72638,7.5762,-0.15018,1.23578,1.30447,0.06869,-0.62
1,1,0,5,1.3,0.895,-0.405,2.67,3.01,0.34,1.9,1.93,0.03,7.72638,7.5762,-0.15018,1.23578,1.30447,0.06869,-0.63
5,3,1,4,1.3,0.895,-0.405,2.67,3.01,0.34,1.9,1.93,0.03,7.72638,7.5762,-0.15018,1.23578,1.30447,0.06869,-0.53
3,2,2,3,1.3,0.895,-0.405,2.67,3.01,0.34,1.9,1.93,0.03,7.72638,7.5762,-0.15018,1.23578,1.30447,0.06869,-0.43
3,2,2,3,1.3,0.895,-0.405,2.67,3.01,0.34,1.9,1.93,0.03,7.72638,7.5762,-0.15018,1.23578,1.30447,0.06869,-0.42
3,2,2,2,1.3,0.895,-0.405,2.67,3.01,0.34,1.9,1.93,0.03,7.72638,7.5762,-0.15018,1.23578,1.30447,0.06869,-0.36
3,2,2,0,1.3,0.895,-0.405,2.67,3.01,0.34,1.9,1.93,0.03,7.72638,7.5762,-0.15018,1.23578,1.30447,0.06869,0.06
3,2,2,5,1.3,2,0.7,2.67,2.81,0.14,1.9,2.28,0.38,7.72638,7.4589,-0.26748,1.23578,1.14289,-0.09289,0.62
1,1,0,5,1.3,2,0.7,2.67,2.81,0.14,1.9,2.28,0.38,7.72638,7.4589,-0.26748,1.23578,1.14289,-0.09289,0.58
3,2,2,3,1.3,2,0.7,2.67,2.81,0.14,1.9,2.28,0.38,7.72638,7.4589,-0.26748,1.23578,1.14289,-0.09289,0.37
3,2,2,3,1.3,2,0.7,2.67,2.81,0.14,1.9,2.28,0.38,7.72638,7.4589,-0.26748,1.23578,1.14289,-0.09289,0.38
3,2,2,2,1.3,2,0.7,2.67,2.81,0.14,1.9,2.28,0.38,7.72638,7.4589,-0.26748,1.23578,1.14289,-0.09289,0.23
3,2,2,0,1.3,2,0.7,2.67,2.81,0.14,1.9,2.28,0.38,7.72638,7.4589,-0.26748,1.23578,1.14289,-0.09289,0.26
1,1,1,0,1.3,2,0.7,2.67,2.81,0.14,1.9,2.28,0.38,7.72638,7.4589,-0.26748,1.23578,1.14289,-0.09289,0.12
3,2,2,5,1.3,1.5,0.2,2.67,2.87,0.2,1.9,2.2,0.3,7.72638,8.3369,0.61052,1.23578,0.56214,-0.67364,0.02
1,1,0,5,1.3,1.5,0.2,2.67,2.87,0.2,1.9,2.2,0.3,7.72638,8.3369,0.61052,1.23578,0.56214,-0.67364,0.01
3,2,2,3,1.3,1.5,0.2,2.67,2.87,0.2,1.9,2.2,0.3,7.72638,8.3369,0.61052,1.23578,0.56214,-0.67364,0.01
3,2,2,3,1.3,1.5,0.2,2.67,2.87,0.2,1.9,2.2,0.3,7.72638,8.3369,0.61052,1.23578,0.56214,-0.67364,0.04
3,2,2,2,1.3,1.5,0.2,2.67,2.87,0.2,1.9,2.2,0.3,7.72638,8.3369,0.61052,1.23578,0.56214,-0.67364,-0.04
3,2,2,0,1.3,1.5,0.2,2.67,2.87,0.2,1.9,2.2,0.3,7.72638,8.3369,0.61052,1.23578,0.56214,-0.67364,0.11
3,2,2,5,1.3,1.65,0.35,2.67,3.05,0.38,1.9,1.54,-0.36,7.72638,6.8281,-0.89828,1.23578,0.07554,-1.16024,0.94
1,1,0,5,1.3,1.65,0.35,2.67,3.05,0.38,1.9,1.54,-0.36,7.72638,6.8281,-0.89828,1.23578,0.07554,-1.16024,0.84
3,2,2,3,1.3,1.65,0.35,2.67,3.05,0.38,1.9,1.54,-0.36,7.72638,6.8281,-0.89828,1.23578,0.07554,-1.16024,0.59
3,2,2,3,1.3,1.65,0.35,2.67,3.05,0.38,1.9,1.54,-0.36,7.72638,6.8281,-0.89828,1.23578,0.07554,-1.16024,0.6
3,2,2,2,1.3,1.65,0.35,2.67,3.05,0.38,1.9,1.54,-0.36,7.72638,6.8281,-0.89828,1.23578,0.07554,-1.16024,0.41
3,2,2,0,1.3,1.65,0.35,2.67,3.05,0.38,1.9,1.54,-0.36,7.72638,6.8281,-0.89828,1.23578,0.07554,-1.16024,0.08
3,2,2,5,1.3,2.4,1.1,2.67,2.95,0.28,1.9,2.36,0.46,7.72638,7.864,0.13762,1.23578,0.81626,-0.41952,1.4
1,1,0,5,1.3,2.4,1.1,2.67,2.95,0.28,1.9,2.36,0.46,7.72638,7.864,0.13762,1.23578,0.81626,-0.41952,1.4
3,2,2,3,1.3,2.4,1.1,2.67,2.95,0.28,1.9,2.36,0.46,7.72638,7.864,0.13762,1.23578,0.81626,-0.41952,0.71
3,2,2,3,1.3,2.4,1.1,2.67,2.95,0.28,1.9,2.36,0.46,7.72638,7.864,0.13762,1.23578,0.81626,-0.41952,0.71
3,2,2,2,1.3,2.4,1.1,2.67,2.95,0.28,1.9,2.36,0.46,7.72638,7.864,0.13762,1.23578,0.81626,-0.41952,0.44
