h,k,l,del_CN,tension_host,tension_impurity,del_tension,radius_host,radius_impurity,del_radius,PEN_host,PEN_impurity,del_PEN,IE_host,IE_impurity,del_IE,EA_host,EA_impurity,del_EA,Esegr
6,4,3,6,1.3,0.895,-0.405,2.67,3.01,0.34,1.9,1.93,0.03,7.72638,7.5762,-0.15018,1.23578,1.30447,0.06869,-0.7
6,4,3,5,1.3,0.895,-0.405,2.67,3.01,0.34,1.9,1.93,0.03,7.72638,7.5762,-0.15018,1.23578,1.30447,0.06869,-0.62
6,4,3,4,1.3,0.895,-0.405,2.67,3.01,0.34,1.9,1.93,0.03,7.72638,7.5762,-0.15018,1.23578,1.30447,0.06869,-0.54
6,4,3,3,1.3,0.895,-0.405,2.67,3.01,0.34,1.9,1.93,0.03,7.72638,7.5762,-0.15018,1.23578,1.30447,0.06869,-0.43
6,4,3,2,1.3,0.895,-0.405,2.67,3.01,0.34,1.9,1.93,0.03,7.72638,7.5762,-0.15018,1.23578,1.30447,0.06869,-0.31
6,4,3,1,1.3,0.895,-0.405,2.67,3.01,0.34,1.9,1.93,0.03,7.72638,7.5762,-0.15018,1.23578,1.30447,0.06869,-0.13
6,4,3,0,1.3,0.895,-0.405,2.67,3.01,0.34,1.9,1.93,0.03,7.72638,7.5762,-0.15018,1.23578,1.30447,0.06869,0.04
6,4,3,6,1.3,2,0.7,2.67,2.81,0.14,1.9,2.28,0.38,7.72638,7.4589,-0.26748,1.23578,1.14289,-0.09289,0.64
6,4,3,5,1.3,2,0.7,2.67,2.81,0.14,1.9,2.28,0.38,7.72638,7.4589,-0.26748,1.23578,1.14289,-0.09289,0.51
6,4,3,4,1.3,2,0.7,2.67,2.81,0.14,1.9,2.28,0.38,7.72638,7.4589,-0.26748,1.23578,1.14289,-0.09289,0.31
6,4,3,3,1.3,2,0.7,2.67,2.81,0.14,1.9,2.28,0.38,7.72638,7.4589,-0.26748,1.23578,1.14289,-0.09289,0.2
6,4,3,2,1.3,2,0.7,2.67,2.81,0.14,1.9,2.28,0.38,7.72638,7.4589,-0.26748,1.23578,1.14289,-0.09289,0.09
6,4,3,1,1.3,2,0.7,2.67,2.81,0.14,1.9,2.28,0.38,7.72638,7.4589,-0.26748,1.23578,1.14289,-0.09289,0.01
