h,k,j,del_CN,del_tension,del_radius,del_dcenter,PEN_host,PEN_impurity,IE_host,IE_impurity,EA_host,EA_impurity,Esegr
6,4,3,6,0.405,0.34,-0.7,1.9,1.93,7.72638,7.5762,1.23578,1.30447,-0.7
3,2,2,5,0.405,0.34,-0.7,1.9,1.93,7.72638,7.5762,1.23578,1.30447,-0.62
1,1,0,5,0.405,0.34,-0.7,1.9,1.93,7.72638,7.5762,1.23578,1.30447,-0.63
6,4,3,5,0.405,0.34,-0.7,1.9,1.93,7.72638,7.5762,1.23578,1.30447,-0.62
1,0,0,4,0.405,0.34,-0.7,1.9,1.93,7.72638,7.5762,1.23578,1.30447,-0.59
6,4,3,4,0.405,0.34,-0.7,1.9,1.93,7.72638,7.5762,1.23578,1.30447,-0.54
5,3,1,4,0.405,0.34,-0.7,1.9,1.93,7.72638,7.5762,1.23578,1.30447,-0.53
1,1,1,3,0.405,0.34,-0.7,1.9,1.93,7.72638,7.5762,1.23578,1.30447,-0.45
3,2,2,3,0.405,0.34,-0.7,1.9,1.93,7.72638,7.5762,1.23578,1.30447,-0.43
3,2,2,3,0.405,0.34,-0.7,1.9,1.93,7.72638,7.5762,1.23578,1.30447,-0.42
6,4,3,3,0.405,0.34,-0.7,1.9,1.93,7.72638,7.5762,1.23578,1.30447,-0.43
3,2,2,2,0.405,0.34,-0.7,1.9,1.93,7.72638,7.5762,1.23578,1.30447,-0.36
6,4,3,2,0.405,0.34,-0.7,1.9,1.93,7.72638,7.5762,1.23578,1.30447,-0.31
6,4,3,1,0.405,0.34,-0.7,1.9,1.93,7.72638,7.5762,1.23578,1.30447,-0.13
3,2,2,0,0.405,0.34,-0.7,1.9,1.93,7.72638,7.5762,1.23578,1.30447,0.06
6,4,3,0,0.405,0.34,-0.7,1.9,1.93,7.72638,7.5762,1.23578,1.30447,0.04
6,4,3,6,0.7,0.14,0.42,1.9,2.28,7.72638,7.4589,1.23578,1.14289,0.64
3,2,2,5,0.7,0.14,0.42,1.9,2.28,7.72638,7.4589,1.23578,1.14289,0.62
1,1,0,5,0.7,0.14,0.42,1.9,2.28,7.72638,7.4589,1.23578,1.14289,0.58
6,4,3,5,0.7,0.14,0.42,1.9,2.28,7.72638,7.4589,1.23578,1.14289,0.51
1,0,0,4,0.7,0.14,0.42,1.9,2.28,7.72638,7.4589,1.23578,1.14289,0.42
6,4,3,4,0.7,0.14,0.42,1.9,2.28,7.72638,7.4589,1.23578,1.14289,0.31
1,1,1,3,0.7,0.14,0.42,1.9,2.28,7.72638,7.4589,1.23578,1.14289,0.15
3,2,2,3,0.7,0.14,0.42,1.9,2.28,7.72638,7.4589,1.23578,1.14289,0.37
3,2,2,3,0.7,0.14,0.42,1.9,2.28,7.72638,7.4589,1.23578,1.14289,0.38
6,4,3,3,0.7,0.14,0.42,1.9,2.28,7.72638,7.4589,1.23578,1.14289,0.2
3,2,2,2,0.7,0.14,0.42,1.9,2.28,7.72638,7.4589,1.23578,1.14289,0.23
6,4,3,2,0.7,0.14,0.42,1.9,2.28,7.72638,7.4589,1.23578,1.14289,0.09
6,4,3,1,0.7,0.14,0.42,1.9,2.28,7.72638,7.4589,1.23578,1.14289,0.01
3,2,2,0,0.7,0.14,0.42,1.9,2.28,7.72638,7.4589,1.23578,1.14289,0.26
1,1,1,0,0.7,0.14,0.42,1.9,2.28,7.72638,7.4589,1.23578,1.14289,0.12
6,4,3,0,0.7,0.14,0.42,1.9,2.28,7.72638,7.4589,1.23578,1.14289,0.02
6,4,3,6,0.2,0.2,-0.78,1.9,2.2,7.72638,8.3369,1.23578,0.56214,0
3,2,2,5,0.2,0.2,-0.78,1.9,2.2,7.72638,8.3369,1.23578,0.56214,0.02
1,1,0,5,0.2,0.2,-0.78,1.9,2.2,7.72638,8.3369,1.23578,0.56214,0.01
6,4,3,5,0.2,0.2,-0.78,1.9,2.2,7.72638,8.3369,1.23578,0.56214,-0.03
1,0,0,4,0.2,0.2,-0.78,1.9,2.2,7.72638,8.3369,1.23578,0.56214,-0.08
6,4,3,4,0.2,0.2,-0.78,1.9,2.2,7.72638,8.3369,1.23578,0.56214,-0.1
1,1,1,3,0.2,0.2,-0.78,1.9,2.2,7.72638,8.3369,1.23578,0.56214,-0.1
3,2,2,3,0.2,0.2,-0.78,1.9,2.2,7.72638,8.3369,1.23578,0.56214,0.01
3,2,2,3,0.2,0.2,-0.78,1.9,2.2,7.72638,8.3369,1.23578,0.56214,0.04
6,4,3,3,0.2,0.2,-0.78,1.9,2.2,7.72638,8.3369,1.23578,0.56214,-0.06
3,2,2,2,0.2,0.2,-0.78,1.9,2.2,7.72638,8.3369,1.23578,0.56214,-0.04
6,4,3,2,0.2,0.2,-0.78,1.9,2.2,7.72638,8.3369,1.23578,0.56214,-0.11
6,4,3,1,0.2,0.2,-0.78,1.9,2.2,7.72638,8.3369,1.23578,0.56214,-0.09
3,2,2,0,0.2,0.2,-0.78,1.9,2.2,7.72638,8.3369,1.23578,0.56214,0.11
