,h,k,l,del_CN,del_tension,del_radius,PEN_host,PEN_impurity,IE_host,IE_impurity,EA_host,EA_impurity,Esegr
214,1,1,0,5,0.3,0.03,2.2,2.28,8.3369,8.9587,0.56214,2.1251,0.27
241,6,4,3,0,-0.6,0.21,2.2,1.54,8.967,6.8281,1.56436,0.07554,-0.59
243,3,2,2,5,-0.95,-0.17,2.2,1.9,8.967,7.726380000000001,1.56436,1.2357799999999999,-0.88
2,1,1,0,5,-0.405,0.34,1.9,1.93,7.726380000000001,7.5762,1.2357799999999999,1.30447,-0.63
87,3,2,2,2,-0.35,0.24,2.28,1.54,7.4589,6.8281,1.14289,0.07554,0.06
153,3,2,2,5,-0.2,-0.2,2.2,1.9,8.3369,7.726380000000001,0.56214,1.2357799999999999,0.11
249,3,2,2,3,-0.95,-0.17,2.2,1.9,8.967,7.726380000000001,1.56436,1.2357799999999999,-0.45
113,1,1,1,3,-0.7,-0.14,2.28,1.9,7.4589,7.726380000000001,1.14289,1.2357799999999999,-0.33
38,1,1,1,3,0.2,0.2,1.9,2.2,7.726380000000001,8.3369,1.2357799999999999,0.56214,-0.1
36,1,0,0,4,0.2,0.2,1.9,2.2,7.726380000000001,8.3369,1.2357799999999999,0.56214,-0.08
179,6,4,3,1,0.45,-0.05,2.2,1.63,8.3369,6.7462,0.56214,0.52766,0.17
106,6,4,3,0,-0.05,0.01,2.28,1.63,7.4589,6.7462,1.14289,0.52766,-0.22
118,6,4,3,2,-0.7,-0.14,2.28,1.9,7.4589,7.726380000000001,1.14289,1.2357799999999999,-0.19
258,3,2,2,5,-0.25,-0.03,2.2,2.28,8.967,7.4589,1.56436,1.14289,-0.27
272,6,4,3,6,-0.75,0.03,2.2,2.2,8.967,8.3369,1.56436,0.56214,-1.22
101,6,4,3,3,-0.05,0.01,2.28,1.63,7.4589,6.7462,1.14289,0.52766,0.33
6,5,3,1,4,-0.405,0.34,1.9,1.93,7.726380000000001,7.5762,1.2357799999999999,1.30447,-0.53
261,1,0,0,4,-0.25,-0.03,2.2,2.28,8.967,7.4589,1.56436,1.14289,-0.23
221,6,4,3,3,0.3,0.03,2.2,2.28,8.3369,8.9587,0.56214,2.1251,0.09
80,6,4,3,5,-0.35,0.24,2.28,1.54,7.4589,6.8281,1.14289,0.07554,0.34
112,6,4,3,4,-0.7,-0.14,2.28,1.9,7.4589,7.726380000000001,1.14289,1.2357799999999999,-0.35
108,3,2,2,5,-0.7,-0.14,2.28,1.9,7.4589,7.726380000000001,1.14289,1.2357799999999999,-0.54
66,1,0,0,4,1.1,0.28,1.9,2.36,7.726380000000001,7.864,1.2357799999999999,0.81626,1.23
34,1,1,0,5,0.2,0.2,1.9,2.2,7.726380000000001,8.3369,1.2357799999999999,0.56214,0.01
279,3,2,2,3,-0.75,0.03,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.52
140,6,4,3,5,0.7,0.06,2.28,1.9,7.4589,7.8335,1.14289,0.060396000000000005,0.93
48,3,2,2,5,0.35,0.38,1.9,1.54,7.726380000000001,6.8281,1.2357799999999999,0.07554,0.94
242,6,4,3,6,-0.95,-0.17,2.2,1.9,8.967,7.726380000000001,1.56436,1.2357799999999999,-1.16
10,6,4,3,3,-0.405,0.34,1.9,1.93,7.726380000000001,7.5762,1.2357799999999999,1.30447,-0.43
39,3,2,2,3,0.2,0.2,1.9,2.2,7.726380000000001,8.3369,1.2357799999999999,0.56214,0.01
149,6,4,3,1,0.7,0.06,2.28,1.9,7.4589,7.8335,1.14289,0.060396000000000005,0.09
122,6,4,3,6,-0.2,0.09,2.28,2.28,7.4589,8.9587,1.14289,2.1251,-0.36
259,1,1,0,5,-0.25,-0.03,2.2,2.28,8.967,7.4589,1.56436,1.14289,-0.31
111,1,0,0,4,-0.7,-0.14,2.28,1.9,7.4589,7.726380000000001,1.14289,1.2357799999999999,-0.43
59,6,4,3,1,0.35,0.38,1.9,1.54,7.726380000000001,6.8281,1.2357799999999999,0.07554,0.12
273,3,2,2,5,-0.75,0.03,2.2,2.2,8.967,8.3369,1.56436,0.56214,-1.04
27,6,4,3,2,0.7,0.14,1.9,2.28,7.726380000000001,7.4589,1.2357799999999999,1.14289,0.09
162,3,2,2,2,-0.2,-0.2,2.2,1.9,8.3369,7.726380000000001,0.56214,1.2357799999999999,0.22
5,6,4,3,4,-0.405,0.34,1.9,1.93,7.726380000000001,7.5762,1.2357799999999999,1.30447,-0.54
163,6,4,3,2,-0.2,-0.2,2.2,1.9,8.3369,7.726380000000001,0.56214,1.2357799999999999,0.22
42,3,2,2,2,0.2,0.2,1.9,2.2,7.726380000000001,8.3369,1.2357799999999999,0.56214,-0.04
276,1,0,0,4,-0.75,0.03,2.2,2.2,8.967,8.3369,1.56436,0.56214,-0.9
23,3,2,2,3,0.7,0.14,1.9,2.28,7.726380000000001,7.4589,1.2357799999999999,1.14289,0.37
