,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Hf,Ta,W,Re,Os,Ir,Pt,Au
Ti,0,0.2,0.1,-0.53,1.02,0.54,0.33,-0.24,-0.16,0.33,0.79,0.66,0.82,0.27,-1,-0.8,-0.04,0.12,0.91,0.88,1.11,0.71,-0.5,-1.22
V,-0.18,0,0.53,0.6,0.12,-0.02,-0.26,-0.76,-0.38,0.02,0.32,0.04,0.04,-0.6,-1.82,-1.45,-0.22,-0.17,0.48,0.28,0.32,-0.19,-1.42,-2
Cr,-0.64,-0.51,0,0.1,-0.3,-0.04,-0.27,-0.76,-0.95,-0.64,-0.36,-0.63,-0.55,-1.03,-2.11,-1.58,-0.81,-0.83,-0.24,-0.45,-0.34,-0.75,-1.83,-2.26
Mn,-1,-0.8,-0.2,0,-0.19,-0.05,-0.27,-0.6,-1.37,-0.98,-0.64,-0.8,-0.64,-1.05,-2,-1.44,-1.22,-1.2,-0.54,-0.67,-0.49,-0.84,-1.81,-2.15
Fe,-1.66,-0.76,0.19,0.2,0,0.06,-0.26,-0.43,-1.19,-1.36,-0.36,-0.93,-0.13,-0.58,-1.13,-1.25,-1.16,-1.04,-0.54,-0.54,0.67,-0.29,-1.25,-1.79
Co,-1.05,-0.88,-0.59,0.32,0.16,0,-0.23,-0.44,-1.46,-1.04,-0.6,-0.36,0.12,-0.5,-1.53,-1.19,-1.34,-1.28,-0.56,-0.42,0.25,-0.28,-1.19,-1.85
Ni,-1.16,-0.89,0.11,0.28,-0.74,-0.21,0,-0.05,-1.5,-1.07,-0.61,-0.34,0.01,-0.34,-1.2,-0.77,-1.36,-1.32,-0.57,-0.45,0.16,-0.01,-0.9,-1.34
Cu,-1.07,-0.32,0.55,0.83,-0.66,1.1,0.57,0,-1.66,-0.68,0.15,0.41,0.79,0.42,-0.78,-0.7,-1.63,-1.02,0.11,0.48,0.99,0.77,-0.36,-1.12
Zr,0.14,-0.17,0.45,0.25,-0.46,1.14,-0.05,0.1,0,0.53,1.04,0.98,1.18,0.72,-0.5,-0.37,0.11,0.3,1.15,1.19,1.49,1.17,0.02,-0.71
Nb,-0.05,0,0.16,-0.61,0.87,0.81,-1.35,-0.34,-0.22,0,0.61,0.42,0.51,-0.02,-1.19,-0.87,-0.08,0.04,0.75,0.65,0.8,0.37,-0.76,-1.33
Mo,-0.51,-0.29,0.3,0.46,-0.39,0.1,0.2,-0.24,-0.81,-0.38,0,-0.12,0.06,-0.3,-1.32,-0.82,-0.68,-0.6,0.11,0.02,0.25,-0.01,-0.98,-1.3
Tc,-0.6,-0.29,0.22,0.41,-0.32,0.64,0.04,-0.3,-0.92,-0.39,0.1,0,0.17,-0.29,-1.39,-0.9,-0.83,-0.66,0.15,0.12,0.36,0.02,-1.03,-1.49
Ru,-0.81,-0.45,-0.03,-0.48,-0.55,0.56,0.15,-0.06,-1.2,-0.63,-0.16,-0.24,0,-0.28,-1.21,-0.61,-1.13,-0.93,-0.1,-0.12,1.26,-0.05,-0.94,-1.24
Rh,-0.88,-0.55,-0.01,0.47,-0.85,0.82,0.2,0.24,-1.28,-0.74,-0.23,-0.19,0.22,0,-0.79,-0.2,-1.19,-1.03,-0.21,-0.1,0.34,0.25,-0.49,-0.77
Pd,-0.9,-0.52,0.28,0.72,0.95,0.23,0.82,0.92,-1.27,-0.72,-0.07,0.13,0.65,0.58,0,0.57,-1.17,-1.02,-0.11,0.14,0.77,0.87,0.33,0.12
Ag,-0.24,0.29,1.07,1.28,-0.54,0.45,1.09,0.53,-0.69,0.29,1.14,1.23,1.58,1.25,0.16,0,-0.78,-0.12,1.09,1.39,1.89,1.72,0.7,-0.16
Hf,0.06,0.21,-0.12,-0.13,-0.16,0.46,0.6,-0.01,-0.13,0.45,0.96,0.89,1.09,0.61,-0.64,-0.49,0,0.19,1.08,1.11,1.4,1.05,-0.13,-0.86
Ta,-0.09,-0.02,0.13,-0.25,-0.39,0.46,-2.12,-0.43,-0.28,0.21,0.6,0.38,0.47,-0.07,-1.28,-0.99,-0.15,0,0.74,0.61,0.74,0.33,-0.85,-0.72
W,-0.63,-0.4,0.05,0.34,-0.36,0.53,-0.02,-0.36,-0.97,-0.48,-0.09,-0.23,-0.05,-0.47,-1.49,-0.97,-0.85,-0.72,0,-0.09,0.15,-0.17,-1.15,-1.59
Re,-0.69,-0.36,0.17,0.51,-0.25,0.37,-0.06,-0.42,-1.08,-0.52,-0.02,-0.11,0.05,-0.44,-1.57,-1.04,-1,-0.8,0.01,0,0.23,-0.14,-1.23,-1.68
Os,-0.98,-0.55,0.16,0.39,-0.49,0.07,0.02,-0.23,-1.44,-0.79,-0.26,-0.33,-0.13,-0.52,-1.46,-0.83,-1.38,-1.13,-0.25,-0.26,0,-0.29,-1.22,-1.53
Ir,-1.09,-0.7,0.08,0.35,-0.78,-0.03,0.23,0,-1.58,-0.99,-0.42,-0.36,0.04,-0.21,-1.06,-0.48,-1.49,-1.3,-0.45,-0.35,0.11,0,-0.79,-1.11
Pt,-1.08,-0.65,0.24,0.56,-1.11,-0.19,0.33,0.7,-1.57,-0.96,-0.28,-0.09,0.43,0.33,-0.31,0.34,-1.5,-1.28,-0.36,-0.09,0.49,0.6,0,-0.21
Au,-0.51,-0.01,0.87,1.19,-0.74,0.21,0.85,0.67,-1.43,-0.25,0.71,0.93,1.4,1.13,0.19,0.26,-1.53,-0.64,0.74,1.1,1.65,1.57,0.65,0
